PPID,PP,EAL,SEN,HML,Re,Wr,Ma,Att8Est,Att8Act,Att8Diff,EngEst,EngAct,EngDiff,MathsEst,MathsAct,MathsDiff,EbaccEst,EbaccAct,EbaccDiff
50,0,0,0,M,,,4,3.9,1.7,-2.17,4.3,2,-2.31,3.8,2,-1.81,3.1,0.7,-2.45
658,0,0,0,M,5C,4B,5C,4.9,6,1.02,5.3,4,-1.26,4.8,7,2.15,4.5,7,2.49
959,0,0,1,M,,,4,2.9,2.2,-0.78,3.5,2,-1.46,2.9,3,0.13,1.9,0,-1.91
837,0,0,1,M,,,4B,3.9,3.9,-0.02,4.3,4,-0.31,3.8,4,0.19,3.1,2,-1.11
846,0,0,0,L,3A,3B,4C,2.8,2.3,-0.51,3.4,4,0.63,2.8,2,-0.76,1.8,0.7,-1.1
89,1,0,0,M,4B,3B,4B,3.5,1.5,-2.01,4,1.5,-2.49,3.5,2,-1.49,2.6,0,-2.64
89,1,0,1,M,4B,4C,4B,3.7,2.3,-1.41,4.2,3,-1.16,3.7,3,-0.68,2.9,0.7,-2.25
232,0,0,0,M,5B,5C,4B,4.9,7,2.07,5.3,7,1.74,4.8,7,2.15,4.5,7,2.49
830,1,0,1,L,N,3A,3A,2.4,2.3,-0.12,2.9,1.5,-1.43,2.2,3,0.8,1.3,0,-1.27
961,0,0,0,H,5B,4A,5C,6.5,6.6,0.06,6.5,5.5,-1.02,6.7,7,0.3,6.4,7,0.61
577,0,0,0,M,4B,4B,4B,3.9,4.7,0.83,4.3,5.5,1.19,3.8,4,0.19,3.1,2.3,-0.78
617,0,1,0,L,N,N,N,1.5,1.6,0.09,2,2,0.01,1.1,0,-1.05,0.7,0,-0.68
190,0,0,0,M,,,4,3.9,3.8,-0.12,4.3,5.5,1.19,3.8,4,0.19,3.1,1.7,-1.45
719,0,0,0,M,,,4,3.9,5.1,1.18,4.3,5.5,1.19,3.8,4,0.19,3.1,5.5,2.39
860,0,0,1,L,3A,4C,3B,2.5,2,-0.57,3.1,2,-1.11,2.4,3,0.6,1.4,0,-1.45
609,1,0,0,H,5B,4A,5A,6.4,4.6,-1.81,6.5,4,-2.5,6.5,5.5,-1.01,6.3,4.5,-1.76
671,0,0,0,M,4B,3A,5C,4.1,4,-0.14,4.6,3,-1.56,4.1,7,2.91,3.5,2.7,-0.81
390,1,0,0,M,5B,5C,4B,4.9,4.5,-0.41,5.3,5.5,0.24,4.8,4,-0.85,4.5,4,-0.51
363,0,0,0,M,,,4,3.9,3.7,-0.22,4.3,4,-0.31,3.8,4,0.19,3.1,1.3,-1.78
904,0,0,0,M,4A,4B,5C,4.9,2.8,-2.18,5.3,3,-2.26,4.8,4,-0.85,4.5,0.5,-4.01
85,1,0,0,M,5C,4A,4C,4.1,4.7,0.56,4.6,5.5,0.94,4.1,4,-0.09,3.5,3.3,-0.15
162,1,0,0,M,4A,4B,4B,3.9,3.4,-0.52,4.3,4,-0.31,3.8,3,-0.81,3.1,2,-1.11
924,0,0,0,M,4C,4C,4C,3.1,4.1,0.91,3.6,3,-0.64,3.1,4,0.87,2.2,3.3,1.16
710,1,0,0,M,5C,4B,4A,4.4,3.3,-1.15,4.8,4,-0.8,4.3,3,-1.3,3.8,0.7,-3.16
616,1,0,1,L,,,3,2.2,1.8,-0.49,2.8,3,0.18,2,0,-2.02,1.2,0.5,-0.66
34,0,0,0,H,,,4,5.1,3.6,-1.54,5.4,4,-1.37,5,4,-1.04,4.7,2,-2.7
415,1,0,1,M,4A,4C,4B,3.7,1.3,-2.43,4.2,2,-2.16,3.7,0,-3.68,2.9,0.7,-2.25
725,1,0,0,M,4A,4C,4B,3.9,2.8,-1.07,4.3,3,-1.31,3.8,3,-0.81,3.1,2,-1.11
534,0,0,0,L,3A,3B,4C,2.8,2.2,-0.61,3.4,2,-1.37,2.8,3,0.24,1.8,0.3,-1.43
788,0,0,0,M,,,4,2.9,1.6,-1.33,3.5,3,-0.46,2.9,0,-2.87,1.9,0.7,-1.24
295,0,0,0,M,4A,4B,3B,3.1,3.9,0.71,3.6,4,0.36,3.1,4,0.87,2.2,2,-0.18
245,0,0,0,M,4C,3A,4C,3.1,2.3,-0.89,3.6,2,-1.64,3.1,3,-0.13,2.2,1.2,-1.01
852,1,1,0,M,4B,4A,4B,4.1,4.6,0.41,4.6,5.5,0.94,4.1,4,-0.09,3.5,2.8,-0.65
223,0,0,0,M,4A,4B,4B,4.1,4.5,0.31,4.6,4,-0.56,4.1,4,-0.09,3.5,3,-0.48
333,0,1,0,,,,,,5.5,,,5.5,,,5.5,,,5.9,
692,1,0,0,M,4B,4B,4A,4.4,4.9,0.45,4.8,5.5,0.7,4.3,5.5,1.2,3.8,2.3,-1.49
426,0,1,0,M,4A,4C,5B,4.9,4.2,-0.78,5.3,4,-1.26,4.8,7,2.15,4.5,2.7,-1.85
578,1,0,0,M,4B,3A,4B,3.5,5.8,2.29,4,5.5,1.51,3.5,5.5,2.01,2.6,5,2.36
473,1,1,0,H,,,5,5.1,4.6,-0.54,5.4,4,-1.37,5,5.5,0.46,4.7,3.3,-1.37
802,1,0,1,L,N,N,B,1.5,0.8,-0.71,2,1.5,-0.49,1.1,0,-1.05,0.7,0,-0.68
995,0,0,0,M,,,4B,3.9,1.9,-1.94,4.3,4,-0.31,3.8,2,-1.81,3.1,0.7,-2.45
354,0,0,0,M,5C,4A,4A,4.7,6.9,2.2,5,7,1.99,4.6,7,2.43,4.2,6,1.85
543,0,0,1,H,5B,5C,5C,6.5,5.8,-0.69,6.5,7,0.48,6.7,5.5,-1.2,6.4,4.5,-1.89
746,0,0,0,L,,,3B,2.2,2.3,0.06,2.8,3,0.18,2,3,0.98,1.2,0.7,-0.49
711,1,0,0,M,4A,4A,4B,4.1,4.4,0.21,4.6,5.5,0.94,4.1,3,-1.09,3.5,3.3,-0.15
14,1,0,1,L,3C,3A,3B,2.4,2.3,-0.09,2.9,2,-0.93,2.2,3,0.8,1.3,0,-1.27
561,0,0,0,L,4B,3A,3C,2.4,2.8,0.38,2.9,3,0.07,2.2,3,0.8,1.3,0.7,-0.61
273,1,0,1,L,3C,3B,3A,2.2,0.4,-1.86,2.8,1,-1.82,2,0,-2.02,1.2,0,-1.16
194,0,0,0,M,4C,4B,4B,3.7,2.5,-1.26,4.2,2,-2.16,3.7,4,0.32,2.9,0.7,-2.25
84,1,1,0,M,3A,4C,4C,2.9,3,0.02,3.5,4,0.54,2.9,4,1.13,1.9,0,-1.91
623,1,0,0,M,4B,4C,3A,2.9,3.5,0.52,3.5,2,-1.46,2.9,4,1.13,1.9,2.5,0.59
811,1,0,0,L,4B,3A,3A,2.9,4.1,1.17,3.5,4,0.54,2.9,4,1.13,1.9,2.3,0.43
697,1,0,1,M,4A,4C,4B,3.7,3.6,-0.16,4.2,4,-0.16,3.7,4,0.32,2.9,2,-0.91
637,0,0,0,H,4A,4C,5B,5.5,3.8,-1.76,5.7,3,-2.73,5.5,5.5,-0.02,5.2,2.7,-2.55
561,0,0,0,L,3A,3C,3C,2,1.8,-0.22,2.6,2,-0.61,1.8,2,0.24,1,0,-0.97
748,1,0,0,M,5C,4A,4C,3.9,3.2,-0.72,4.3,3,-1.31,3.8,3,-0.81,3.1,1,-2.11
334,0,0,0,H,5B,5B,5B,7.3,4.9,-2.42,7.2,7,-0.21,7.5,3,-4.51,7.3,3,-4.27
655,1,0,0,M,,,3B,2.9,3.1,0.12,3.5,3,-0.46,2.9,4,1.13,1.9,1.7,-0.24
534,0,0,0,M,4C,4A,3B,3.1,3.6,0.41,3.6,4,0.36,3.1,4,0.87,2.2,2,-0.18
105,0,0,0,H,5C,5C,5B,6.5,4.7,-1.79,6.5,4,-2.52,6.7,5.5,-1.2,6.4,2.3,-4.05
231,0,0,0,H,,,5,6.4,5,-1.46,6.5,7,0.5,6.5,5.5,-1.01,6.3,2.7,-3.59
360,0,1,0,,,,,,3.6,,,4,,,5.5,,,0,
295,1,0,0,H,5C,3A,5A,5.1,5.7,0.61,5.4,5.5,0.13,5,8.5,3.46,4.7,3.7,-1.03
